tradedate,index_name,close,predicted_score,sigmoid_score,dist_sma_50
1995-03-13,NSE500,844.12,-0.08007368555268998,0.4799922679261544,-0.037289465520702225
1995-03-14,NSE500,847.92,-0.02107293448260336,0.49473196132543873,-0.029589331067607416
1995-03-15,NSE500,857.25,-0.05401236723142466,0.486500189989181,-0.016325609820748155
1995-03-16,NSE500,842.73,-0.0795552639327057,0.48012166714142,-0.0302116242956999
1995-03-23,NSE500,820.79,-0.03240194357075963,0.49190022274843626,-0.05244779221570839
1995-03-24,NSE500,816.66,-0.08457512566613543,0.4788688129457781,-0.05434226033807277
1995-03-27,NSE500,816.86,-0.02690942659490649,0.4932730492714572,-0.05141734640720519
1995-03-28,NSE500,819.96,-0.0744098912160434,0.4814061056766799,-0.04556330575264733
1995-03-29,NSE500,814.5,-0.07517015210968873,0.4812163059926671,-0.049991555480493166
1995-03-30,NSE500,814.78,-0.09936867354234764,0.47517825269074404,-0.04792463977295458
1995-03-31,NSE500,812.68,-0.06274911428006924,0.48431786672872856,-0.048589508307573914
1995-04-03,NSE500,814.74,-0.049271262441752096,0.487684675737668,-0.04440265841705393
1995-04-04,NSE500,822.78,-0.061959732043541764,0.48451502058600543,-0.033153261389162636
1995-04-05,NSE500,833.75,-0.04219941362927495,0.4894517119038358,-0.0185624998234295
1995-04-06,NSE500,841.29,-0.06725449548031531,0.4831927108339248,-0.008133332610223754
1995-04-07,NSE500,845.32,-0.07423608210837564,0.4814494980021946,-0.0018632704292604885
1995-04-10,NSE500,841.44,-0.06725449548031531,0.4831927108339248,-0.004978889621526705
1995-04-17,NSE500,839.89,-0.110003475925091,0.4725268292975926,-0.00579154921041225
1995-04-18,NSE500,829.67,-0.026193166425528085,0.493452082756666,-0.017096994011147393
1995-04-19,NSE500,820.54,-0.0712042925779488,0.48220644407374336,-0.02690889702268795
1995-04-20,NSE500,813.3,-0.047970730132061636,0.48800961672559146,-0.03424906898190416
1995-04-21,NSE500,812.85,-0.043259922206967165,0.4891867057477068,-0.033290209882524735
1995-04-24,NSE500,802.3,-0.06419192617291546,0.48395752680093557,-0.04399596578928322
1995-04-25,NSE500,792.74,-0.07961785072704122,0.48010604519333083,-0.05335502852449525
1995-04-26,NSE500,785.02,-0.06628787189796269,0.48343409757573164,-0.060350756739507294
1995-04-27,NSE500,772.98,-0.055101177891398866,0.48622818977927595,-0.07221565674787922
1995-04-28,NSE500,759.82,-0.005129716295091578,0.4987175737383719,-0.08535073312060282
1995-05-02,NSE500,735.44,-0.16270878242285441,0.4594123086212473,-0.11175718786557698
1995-05-03,NSE500,737.28,0.05216372984965348,0.5130379761759388,-0.10677009821797456
1995-05-04,NSE500,746.42,-0.16163437612815554,0.459679151870969,-0.09315647928651882
1995-05-05,NSE500,760.71,0.044302883812349876,0.5110739097401137,-0.07359912785259992
1995-05-08,NSE500,763.4,-0.03590665748127539,0.4910242999641937,-0.06827287277811644
1995-05-09,NSE500,767.75,-0.05796621176786107,0.4855125034285617,-0.061069437935558635
1995-05-10,NSE500,766.92,-0.05899516747667828,0.48525548432041576,-0.06022974939214909
1995-05-12,NSE500,759.49,-0.06805874438945063,0.4829918785203937,-0.06764253471987769
1995-05-15,NSE500,752.81,-0.016749476917495797,0.49581272866333004,-0.07423394122201477
1995-05-16,NSE500,749.61,-0.05860295188288627,0.4853534535162052,-0.07668760925389095
1995-05-17,NSE500,757.99,-0.10023705590319551,0.4749616968089452,-0.06538794926395253
1995-05-18,NSE500,769.27,-0.0677666878990301,0.4830648085197574,-0.05102977092324723
1995-05-19,NSE500,775.7,-0.029033674539190014,0.4927420911984667,-0.042216792136225756
1995-05-22,NSE500,766.3,-0.0492746119277209,0.4876838388742175,-0.05212484590689381
1995-05-23,NSE500,761.66,-0.04113495137597216,0.4897177119898981,-0.05619906683086051
1995-05-24,NSE500,758.59,-0.03391779195416033,0.4915213648261041,-0.058036214303683775
1995-05-25,NSE500,755.53,-0.03911165598684064,0.49022333226986087,-0.05953276007150021
1995-05-26,NSE500,759.63,-0.05935746608698821,0.48516498891623405,-0.052077996075188815
1995-05-29,NSE500,759.23,-0.056252849069812434,0.48594049500861247,-0.050174144539968046
1995-05-30,NSE500,761.69,-0.056252849069812434,0.48594049500861247,-0.04478687820665872
1995-05-31,NSE500,777.09,-0.06513494858653887,0.4837220174750056,-0.023616938296721735
1995-06-01,NSE500,788.73,-0.1150314747618812,0.4712738003238016,-0.007422341019948986
1995-06-02,NSE500,788.19,-0.06873092645072157,0.48282402937661023,-0.006218713837539691
1995-06-05,NSE500,786.67,-0.12480189573527006,0.4688399600387753,-0.006696186184077857
1995-06-06,NSE500,788.78,-0.08738920037413352,0.47816659305003273,-0.0025422665727858895
1995-06-07,NSE500,788.33,-0.058850119916948246,0.48529171475432203,-0.0013706404260385163
1995-06-08,NSE500,781.77,-0.08036052746865008,0.4799206726840432,-0.008148767661922407
1995-06-09,NSE500,777.64,-0.02698182313721621,0.49325495342077913,-0.012307167847578127
1995-06-12,NSE500,773.22,-0.05721838107839743,0.4856993061557226,-0.01683618132367637
1995-06-13,NSE500,766.04,-0.05657074890299737,0.48586108324507565,-0.024705243374262165
1995-06-14,NSE500,766.92,-0.08001528674493513,0.48000684426753204,-0.02226435579113195
1995-06-15,NSE500,761.92,-0.06499631929581262,0.48375663814277736,-0.027334762952423097
1995-06-16,NSE500,765.42,-0.04718629832564875,0.4882056137334166,-0.021633678236583687
1995-06-19,NSE500,769.07,-0.04539414745525005,0.4886534114946952,-0.015871057828244273
1995-06-20,NSE500,770.65,-0.01810405995754033,0.49547410862598296,-0.012735222414811398
1995-06-21,NSE500,769.43,-0.02350626087192052,0.49412370535562083,-0.012948927807226118
1995-06-22,NSE500,764.08,-0.033535784869724916,0.49161683944384393,-0.01805686603251433
1995-06-23,NSE500,757.05,0.008476666406976278,0.5021191539126412,-0.02498023686907702
1995-06-26,NSE500,743.69,-0.021403611220141772,0.49464930146281966,-0.03967287747677861
1995-06-27,NSE500,738.67,-0.004889897549894102,0.4987775280484127,-0.04361683147370299
1995-06-28,NSE500,744.56,0.008716486532578747,0.5021791078362975,-0.033605243265245166
1995-06-29,NSE500,742.47,-0.01247862005356195,0.4968803854676516,-0.034131591326320376
1995-06-30,NSE500,737.24,-0.05675607894143421,0.48581478790604626,-0.038852150314741984
1995-07-03,NSE500,722.89,-0.008915973133022694,0.49777102148270014,-0.055333473595623905
1995-07-04,NSE500,714.63,0.055185299936944134,0.5137928247529332,-0.06372409398211853
1995-07-05,NSE500,714.06,-0.05586482908597411,0.48603742383235227,-0.06230277511418858
1995-07-06,NSE500,712.65,-0.05745305674212835,0.48564068543027494,-0.06218170237741172
1995-07-07,NSE500,715.32,-0.050612744662906564,0.4873495142286422,-0.05693809425872898
1995-07-10,NSE500,718.12,-0.029286096741020142,0.4926789990608375,-0.051875151502988825
1995-07-11,NSE500,720.44,-0.077726949703793,0.48057803970292623,-0.047821954177455606
1995-07-12,NSE500,729.54,-0.06190774507037378,0.48452800487407205,-0.03564443443349763
1995-07-13,NSE500,736.85,-0.058850778689315465,0.4852915502037464,-0.025970506675112692
1995-07-14,NSE500,748.32,-0.11122343381453335,0.4722227708476479,-0.010858194721034553
1995-07-17,NSE500,761.76,-0.03935040079057854,0.4901636690284713,0.0068790714125968044
1995-07-18,NSE500,765.76,-0.10878459338324094,0.47283064008681935,0.01210304799294959
1995-07-19,NSE500,767.48,-0.01833781250306494,0.495415675339802,0.014383607450937363
1995-07-20,NSE500,773.51,-0.121290875804533,0.46971440077196985,0.022175436074093557
1995-07-21,NSE500,771.8,0.02708025451118137,0.5067696499281579,0.019583991765121933
1995-07-25,NSE500,783.96,0.2585277134373152,0.5642743367756985,0.034796272009022244
1995-07-26,NSE500,788.46,0.26688754695707945,0.5663286433022178,0.03966979941596227
1995-07-27,NSE500,786.53,0.053587149602782824,0.5133935824892069,0.03634486871401421
1995-07-28,NSE500,767.83,-0.06909340826487238,0.48273351642479306,0.011743834045707668
1995-07-31,NSE500,758.54,-0.15229061741439637,0.46200075850989514,-4.508458104701685e-05
1995-08-01,NSE500,757.76,-0.06442873212879059,0.48389838648151934,-0.0008483611755961684
1995-08-02,NSE500,766.07,-0.08219356317650396,0.47946316976630055,0.009991409265442064
