Date,Drawdown
2010-06-01,0.0
2010-06-02,0.0
2010-06-03,0.0
2010-06-04,0.0
2010-06-07,0.0
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,0.0
2010-06-11,0.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,0.0
2010-06-21,0.0
2010-06-22,0.0
2010-06-23,0.0
2010-06-24,0.0
2010-06-25,0.0
2010-06-28,0.0
2010-06-29,0.0
2010-06-30,0.0
2010-07-01,0.0
2010-07-02,0.0
2010-07-05,0.0
2010-07-06,0.0
2010-07-07,0.0
2010-07-08,0.0
2010-07-09,0.0
2010-07-12,0.0
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-16,0.0
2010-07-19,0.0
2010-07-20,0.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.0
2010-07-26,-0.004089496521599956
2010-07-27,-0.0012555765215997994
2010-07-28,-0.0009190485215999633
2010-07-29,0.0
2010-07-30,-0.003972931524687029
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,-0.004659907664981144
2010-08-06,-0.004694944564717862
2010-08-09,0.0
2010-08-10,-0.0035292396084952715
2010-08-11,-0.005900538618170081
2010-08-12,-0.006195128040036191
2010-08-13,0.0
2010-08-16,-0.0017906405431707961
2010-08-17,0.0
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,-0.0005247351947075263
2010-08-23,0.0
2010-08-24,-0.0015549978768567563
2010-08-25,-0.011324811179810879
2010-08-26,-0.008759632200470047
2010-08-27,-0.01580536163155777
2010-08-30,-0.018938058084204124
2010-08-31,-0.014920034373201219
2010-09-01,-0.002956766035921432
2010-09-02,-0.0008030372247270767
2010-09-03,0.0
2010-09-06,0.0
2010-09-07,0.0
2010-09-08,0.0
2010-09-09,0.0
2010-09-13,0.0
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,-0.008155422501063936
2010-09-17,0.0
2010-09-20,0.0
2010-09-21,0.0
2010-09-22,-0.0021682786103196516
2010-09-23,0.0
2010-09-24,0.0
2010-09-27,-0.0028241296647374403
2010-09-28,-0.003914424544720907
2010-09-29,-0.010235475592819565
2010-09-30,-0.007225198021743484
2010-10-01,0.0
2010-10-04,0.0
2010-10-05,-0.0003442837857227099
2010-10-06,0.0
2010-10-07,-0.007411026070676008
2010-10-08,-0.008221117072759632
2010-10-11,-0.0041758884559026654
2010-10-12,-0.010013770064467464
2010-10-13,0.0
2010-10-14,-0.009313976852580064
2010-10-15,-0.02493658614911909
2010-10-18,-0.022299137349139575
2010-10-19,-0.02760512471884291
2010-10-20,-0.030610469127464013
2010-10-21,-0.015516385916579223
2010-10-22,-0.017539811764107682
2010-10-25,-0.012026559262775294
2010-10-26,-0.017967296098092667
2010-10-27,-0.027830525549489726
2010-10-28,-0.030496473305068106
2010-10-29,-0.030830688329819944
2010-11-01,-0.021462304380187258
2010-11-02,-0.019247158285901844
2010-11-03,-0.013516277396359078
2010-11-04,0.0
2010-11-05,0.0
2010-11-08,-0.0078121365289250955
2010-11-09,-0.0031665949188817155
2010-11-10,-0.006114182052486594
2010-11-11,-0.018891353901741015
2010-11-12,-0.032487872524147865
2010-11-15,-0.02667514824668904
2010-11-16,-0.044185464820097775
2010-11-18,-0.04319606494308337
2010-11-19,-0.056978096042430426
2010-11-22,-0.044193194506636946
2010-11-23,-0.05353065584595884
2010-11-24,-0.06617384646186764
2010-11-25,-0.07494704068382996
2010-11-26,-0.08025475877406263
2010-11-29,-0.06882770550698403
2010-11-30,-0.06440374824439687
2010-12-01,-0.05112672333227586
2010-12-02,-0.04725157381396994
2010-12-03,-0.04956532665136271
2010-12-06,-0.049887396923828375
2010-12-07,-0.04992862191870384
2010-12-08,-0.058493114604108665
2010-12-09,-0.07675321077181685
2010-12-10,-0.06555547153873365
2010-12-13,-0.0547880181896645
2010-12-14,-0.049987882848837484
2010-12-15,-0.05729501319053665
2010-12-16,-0.0516549185791193
2010-12-20,-0.04907835639939473
2010-12-21,-0.046522406717107834
2010-12-22,-0.05116537176497171
2010-12-23,-0.05086391398994394
2010-12-24,-0.04614365207668836
2010-12-27,-0.04620806613118156
2010-12-28,-0.04434778823742036
2010-12-29,-0.037275125054076264
2010-12-30,-0.03143921171700015
2010-12-31,-0.02783975435192465
2011-01-03,-0.026082538945352396
2011-01-04,-0.024191342305434627
2011-01-05,-0.03068685556052031
2011-01-06,-0.0369195594732743
2011-01-07,-0.05483954943325897
2011-01-10,-0.07653677954872007
2011-01-11,-0.07817547309502493
2011-01-12,-0.06732814631838424
2011-01-13,-0.07962092447785052
2011-01-14,-0.09169727141421968
2011-01-17,-0.08986018258007611
2011-01-18,-0.08163064297803557
2011-01-19,-0.09022090128523763
2011-01-20,-0.0873557641413838
2011-01-21,-0.09135201208213661
2011-01-24,-0.0835604880506493
2011-01-25,-0.08882182802164695
2011-01-27,-0.10261931849407235
2011-01-28,-0.117836494727526
2011-01-31,-0.1157262903023315
2011-02-01,-0.12717137950466828
2011-02-02,-0.12873277618558143
2011-02-03,-0.11957567419884019
2011-02-04,-0.136586137709382
2011-02-07,-0.1397733451257014
2011-02-08,-0.15185226862425039
2011-02-09,-0.16238010169060535
2011-02-10,-0.16702306673846912
2011-02-11,-0.1537022402692928
2011-02-14,-0.13240953041604842
2011-02-15,-0.12951347452603812
2011-02-16,-0.13135571648454114
2011-02-17,-0.12393521740693425
2011-02-18,-0.1331670396968876
2011-02-21,-0.12554814533144198
2011-02-22,-0.1335921724565422
2011-02-23,-0.13851855934417556
2011-02-24,-0.15855905997807362
2011-02-25,-0.15731200388308697
2011-02-28,-0.15457827141039915
2011-03-01,-0.13027098380687707
2011-03-03,-0.125584217201958
2011-03-04,-0.12496068915446468
2011-03-07,-0.13515614569963497
2011-03-08,-0.12906257614458627
2011-03-09,-0.1288925230407243
2011-03-10,-0.13181176799035244
2011-03-11,-0.1373384938658616
2011-03-14,-0.1267385170584746
2011-03-15,-0.1387633327512494
2011-03-16,-0.13231677417757848
2011-03-17,-0.13845156872750275
2011-03-18,-0.14787405661875574
2011-03-21,-0.1499378829247151
2011-03-22,-0.14331354156064313
2011-03-23,-0.13523859568938612
2011-03-24,-0.13023233537418122
2011-03-25,-0.11400755677947594
2011-03-28,-0.11400755677947594
2011-03-29,-0.11400755677947594
2011-03-30,-0.11400755677947594
2011-03-31,-0.11400755677947594
2011-04-01,-0.11400755677947594
