index_name,tradedate,open,high,low,close
NSE500,1995-01-01 00:00:00,,,,1000
NSE500,1995-01-02 00:00:00,,,,972.1
NSE500,1995-01-03 00:00:00,,,,967.43
NSE500,1995-01-04 00:00:00,,,,958.89
NSE500,1995-01-05 00:00:00,,,,948.26
NSE500,1995-01-06 00:00:00,,,,939.46
NSE500,1995-01-09 00:00:00,,,,921.65
NSE500,1995-01-10 00:00:00,,,,901.64
NSE500,1995-01-11 00:00:00,,,,893.14
NSE500,1995-01-12 00:00:00,,,,893.14
NSE500,1995-01-13 00:00:00,,,,894.08
NSE500,1995-01-16 00:00:00,,,,903
NSE500,1995-01-17 00:00:00,,,,907.45
NSE500,1995-01-18 00:00:00,,,,907.82
NSE500,1995-01-19 00:00:00,,,,909.85
NSE500,1995-01-20 00:00:00,,,,903.82
NSE500,1995-01-23 00:00:00,,,,883.28
NSE500,1995-01-24 00:00:00,,,,863.72
NSE500,1995-01-25 00:00:00,,,,864.1
NSE500,1995-01-27 00:00:00,,,,867.69
NSE500,1995-01-30 00:00:00,,,,877.89
NSE500,1995-01-31 00:00:00,,,,883.27
NSE500,1995-02-01 00:00:00,,,,882.83
NSE500,1995-02-02 00:00:00,,,,884.08
NSE500,1995-02-03 00:00:00,,,,887.64
NSE500,1995-02-06 00:00:00,,,,880.99
NSE500,1995-02-07 00:00:00,,,,872.99
NSE500,1995-02-08 00:00:00,,,,865.42
NSE500,1995-02-09 00:00:00,,,,862.03
NSE500,1995-02-10 00:00:00,,,,858.27
NSE500,1995-02-13 00:00:00,,,,853.75
NSE500,1995-02-14 00:00:00,,,,850.4
NSE500,1995-02-15 00:00:00,,,,847.61
NSE500,1995-02-16 00:00:00,,,,833.53
NSE500,1995-02-17 00:00:00,,,,823.6
NSE500,1995-02-20 00:00:00,,,,814.85
NSE500,1995-02-21 00:00:00,,,,800.46
NSE500,1995-02-22 00:00:00,,,,788.49
NSE500,1995-02-23 00:00:00,,,,812.98
NSE500,1995-02-24 00:00:00,,,,838.86
NSE500,1995-02-28 00:00:00,,,,832.98
NSE500,1995-03-01 00:00:00,,,,842.85
NSE500,1995-03-02 00:00:00,,,,854.14
NSE500,1995-03-03 00:00:00,,,,859.26
NSE500,1995-03-06 00:00:00,,,,860.6
NSE500,1995-03-07 00:00:00,,,,858.33
NSE500,1995-03-08 00:00:00,,,,852.93
NSE500,1995-03-09 00:00:00,,,,851.65
NSE500,1995-03-10 00:00:00,,,,863.48
